Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «телеграмм», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
12 июня 2023 – 18 июня 2023;3 435 597;0,1470;
19 июня 2023 – 25 июня 2023;4 442 685;0,1862;
26 июня 2023 – 2 июля 2023;3 761 420;0,1617;
3 июля 2023 – 9 июля 2023;3 492 472;0,1551;
10 июля 2023 – 16 июля 2023;3 598 308;0,1571;
17 июля 2023 – 23 июля 2023;3 759 414;0,1658;
24 июля 2023 – 30 июля 2023;3 677 498;0,1609;
31 июля 2023 – 6 августа 2023;3 523 340;0,1576;
7 августа 2023 – 13 августа 2023;3 482 395;0,1525;
14 августа 2023 – 20 августа 2023;3 457 305;0,1540;
21 августа 2023 – 27 августа 2023;3 774 287;0,1691;
28 августа 2023 – 3 сентября 2023;3 557 059;0,1596;
4 сентября 2023 – 10 сентября 2023;3 637 094;0,1493;
11 сентября 2023 – 17 сентября 2023;3 781 476;0,1500;
18 сентября 2023 – 24 сентября 2023;4 019 347;0,1560;
25 сентября 2023 – 1 октября 2023;3 956 725;0,1517;
2 октября 2023 – 8 октября 2023;3 821 310;0,1452;
9 октября 2023 – 15 октября 2023;3 980 795;0,1486;
16 октября 2023 – 22 октября 2023;3 839 281;0,1400;
23 октября 2023 – 29 октября 2023;3 729 101;0,1387;
30 октября 2023 – 5 ноября 2023;4 235 781;0,1668;
6 ноября 2023 – 12 ноября 2023;3 332 798;0,1254;
13 ноября 2023 – 19 ноября 2023;3 251 053;0,1180;
20 ноября 2023 – 26 ноября 2023;3 674 802;0,1319;
27 ноября 2023 – 3 декабря 2023;3 886 284;0,1381;
4 декабря 2023 – 10 декабря 2023;3 920 438;0,1379;
11 декабря 2023 – 17 декабря 2023;3 945 902;0,1414;
18 декабря 2023 – 24 декабря 2023;3 658 679;0,1340;
25 декабря 2023 – 31 декабря 2023;3 512 496;0,1477;
1 января 2024 – 7 января 2024;3 536 910;0,1518;
8 января 2024 – 14 января 2024;3 840 074;0,1425;
15 января 2024 – 21 января 2024;4 270 395;0,1512;
22 января 2024 – 28 января 2024;4 180 152;0,1472;
29 января 2024 – 4 февраля 2024;3 953 104;0,1386;
5 февраля 2024 – 11 февраля 2024;3 963 258;0,1373;
12 февраля 2024 – 18 февраля 2024;4 225 599;0,1466;
19 февраля 2024 – 25 февраля 2024;3 904 040;0,1418;
