Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «написать завещание», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
10 июля 2023 – 16 июля 2023;2 791;0,000121;
17 июля 2023 – 23 июля 2023;2 942;0,000129;
24 июля 2023 – 30 июля 2023;2 822;0,000123;
31 июля 2023 – 6 августа 2023;2 747;0,000122;
7 августа 2023 – 13 августа 2023;2 928;0,000128;
14 августа 2023 – 20 августа 2023;2 757;0,000122;
21 августа 2023 – 27 августа 2023;2 814;0,000126;
28 августа 2023 – 3 сентября 2023;2 590;0,000116;
4 сентября 2023 – 10 сентября 2023;2 888;0,000118;
11 сентября 2023 – 17 сентября 2023;2 878;0,000114;
18 сентября 2023 – 24 сентября 2023;3 077;0,000119;
25 сентября 2023 – 1 октября 2023;3 184;0,000122;
2 октября 2023 – 8 октября 2023;3 479;0,000132;
9 октября 2023 – 15 октября 2023;3 345;0,000124;
16 октября 2023 – 22 октября 2023;4 068;0,000148;
23 октября 2023 – 29 октября 2023;3 856;0,000143;
30 октября 2023 – 5 ноября 2023;3 581;0,000141;
6 ноября 2023 – 12 ноября 2023;3 990;0,000150;
13 ноября 2023 – 19 ноября 2023;4 241;0,000154;
20 ноября 2023 – 26 ноября 2023;4 112;0,000147;
27 ноября 2023 – 3 декабря 2023;4 334;0,000154;
4 декабря 2023 – 10 декабря 2023;3 831;0,000134;
11 декабря 2023 – 17 декабря 2023;3 887;0,000139;
18 декабря 2023 – 24 декабря 2023;3 874;0,000141;
25 декабря 2023 – 31 декабря 2023;2 546;0,000107;
1 января 2024 – 7 января 2024;2 660;0,000114;
8 января 2024 – 14 января 2024;4 205;0,000156;
15 января 2024 – 21 января 2024;4 477;0,000158;
22 января 2024 – 28 января 2024;5 002;0,000176;
29 января 2024 – 4 февраля 2024;5 039;0,000176;
5 февраля 2024 – 11 февраля 2024;5 673;0,000196;
12 февраля 2024 – 18 февраля 2024;6 043;0,000209;
19 февраля 2024 – 25 февраля 2024;5 118;0,000185;
