Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «тик ток», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
13 марта 2023 – 19 марта 2023;1 882 651;0,066049;
20 марта 2023 – 26 марта 2023;1 906 016;0,069140;
27 марта 2023 – 2 апреля 2023;2 016 788;0,073936;
3 апреля 2023 – 9 апреля 2023;1 963 009;0,071701;
10 апреля 2023 – 16 апреля 2023;1 952 967;0,072471;
17 апреля 2023 – 23 апреля 2023;1 947 437;0,072469;
24 апреля 2023 – 30 апреля 2023;1 857 291;0,070495;
1 мая 2023 – 7 мая 2023;1 839 086;0,072697;
8 мая 2023 – 14 мая 2023;1 842 075;0,073536;
15 мая 2023 – 21 мая 2023;1 661 152;0,063943;
22 мая 2023 – 28 мая 2023;1 699 730;0,068008;
29 мая 2023 – 4 июня 2023;1 747 565;0,071609;
5 июня 2023 – 11 июня 2023;1 695 616;0,070770;
12 июня 2023 – 18 июня 2023;1 696 825;0,072648;
19 июня 2023 – 25 июня 2023;1 720 152;0,072099;
26 июня 2023 – 2 июля 2023;1 822 037;0,078354;
3 июля 2023 – 9 июля 2023;1 801 709;0,080020;
10 июля 2023 – 16 июля 2023;1 913 886;0,083586;
17 июля 2023 – 23 июля 2023;1 817 796;0,080203;
24 июля 2023 – 30 июля 2023;1 939 346;0,084869;
31 июля 2023 – 6 августа 2023;1 864 506;0,083428;
7 августа 2023 – 13 августа 2023;1 901 918;0,083324;
14 августа 2023 – 20 августа 2023;1 978 934;0,088195;
21 августа 2023 – 27 августа 2023;1 964 806;0,088050;
28 августа 2023 – 3 сентября 2023;1 914 085;0,085926;
4 сентября 2023 – 10 сентября 2023;1 796 580;0,073776;
11 сентября 2023 – 17 сентября 2023;1 835 700;0,072864;
18 сентября 2023 – 24 сентября 2023;1 884 218;0,073175;
25 сентября 2023 – 1 октября 2023;1 888 259;0,072441;
2 октября 2023 – 8 октября 2023;1 824 656;0,069343;
9 октября 2023 – 15 октября 2023;1 939 962;0,072443;
16 октября 2023 – 22 октября 2023;1 836 624;0,067013;
23 октября 2023 – 29 октября 2023;1 924 767;0,071596;
30 октября 2023 – 5 ноября 2023;2 021 565;0,079640;
6 ноября 2023 – 12 ноября 2023;1 891 433;0,071184;
13 ноября 2023 – 19 ноября 2023;1 822 733;0,066200;
20 ноября 2023 – 26 ноября 2023;1 785 501;0,064090;
27 ноября 2023 – 3 декабря 2023;1 736 715;0,061733;
4 декабря 2023 – 10 декабря 2023;1 759 365;0,061897;
11 декабря 2023 – 17 декабря 2023;1 719 292;0,061629;
18 декабря 2023 – 24 декабря 2023;1 657 440;0,060728;
25 декабря 2023 – 31 декабря 2023;1 699 660;0,071479;
1 января 2024 – 7 января 2024;1 848 986;0,079397;
8 января 2024 – 14 января 2024;1 733 200;0,064327;
15 января 2024 – 21 января 2024;1 788 580;0,063352;
22 января 2024 – 28 января 2024;1 754 396;0,061801;
29 января 2024 – 4 февраля 2024;1 964 081;0,068867;
5 февраля 2024 – 11 февраля 2024;1 729 472;0,059947;
12 февраля 2024 – 18 февраля 2024;1 754 548;0,060897;
19 февраля 2024 – 25 февраля 2024;1 737 460;0,063135;
