Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «с днем рождения», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
7 августа 2023 – 13 августа 2023;8 456 252;0,37;
14 августа 2023 – 20 августа 2023;8 046 714;0,35;
21 августа 2023 – 27 августа 2023;7 726 615;0,34;
28 августа 2023 – 3 сентября 2023;7 746 101;0,34;
4 сентября 2023 – 10 сентября 2023;7 859 935;0,32;
11 сентября 2023 – 17 сентября 2023;8 067 643;0,32;
18 сентября 2023 – 24 сентября 2023;8 183 111;0,31;
25 сентября 2023 – 1 октября 2023;8 333 893;0,31;
2 октября 2023 – 8 октября 2023;8 886 224;0,33;
9 октября 2023 – 15 октября 2023;8 518 703;0,31;
16 октября 2023 – 22 октября 2023;8 432 750;0,30;
23 октября 2023 – 29 октября 2023;8 438 104;0,31;
30 октября 2023 – 5 ноября 2023;8 514 566;0,33;
6 ноября 2023 – 12 ноября 2023;8 715 129;0,32;
13 ноября 2023 – 19 ноября 2023;8 935 211;0,32;
20 ноября 2023 – 26 ноября 2023;8 562 591;0,30;
27 ноября 2023 – 3 декабря 2023;8 726 584;0,31;
4 декабря 2023 – 10 декабря 2023;8 727 088;0,30;
11 декабря 2023 – 17 декабря 2023;8 223 186;0,29;
18 декабря 2023 – 24 декабря 2023;7 946 387;0,29;
25 декабря 2023 – 31 декабря 2023;6 771 870;0,28;
1 января 2024 – 7 января 2024;7 839 747;0,33;
8 января 2024 – 14 января 2024;8 791 792;0,32;
15 января 2024 – 21 января 2024;9 331 542;0,33;
22 января 2024 – 28 января 2024;9 661 392;0,34;
29 января 2024 – 4 февраля 2024;9 915 298;0,34;
5 февраля 2024 – 11 февраля 2024;9 845 924;0,34;
12 февраля 2024 – 18 февраля 2024;9 356 760;0,32;
19 февраля 2024 – 25 февраля 2024;9 024 379;0,32;
